YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2020,1,1,19393,Southwest Airlines Co.,3,0.00,161053094.00,161053094.00,0.00,63509.00,63509.00,161116603.00,0.00,323308086.00,323308086.00,0.00,133801.00,133801.00,323441887.00
2020,1,1,19687,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,19690,Hawaiian Airlines Inc.,3,0.00,15917310.00,15917310.00,0.00,52227.00,52227.00,15969537.00,0.00,31411784.00,31411784.00,0.00,107364.00,107364.00,31519148.00
2020,1,1,19790,Delta Air Lines Inc.,3,0.00,178006347.00,178006347.00,0.00,2021946.00,2021946.00,180028293.00,0.00,340794016.00,340794016.00,0.00,4538778.00,4538778.00,345332794.00
2020,1,1,19805,American Airlines Inc.,3,0.00,183787875.00,183787875.00,0.00,380922.00,380922.00,184168797.00,0.00,349253485.00,349253485.00,0.00,708241.00,708241.00,349961726.00
2020,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,35903.00,35903.00,35903.00,0.00,0.00,0.00,0.00,86508.00,86508.00,86508.00
2020,1,1,19917,United Parcel Service,3,0.00,46721000.00,46721000.00,0.00,0.00,0.00,46721000.00,0.00,90979000.00,90979000.00,0.00,0.00,0.00,90979000.00
2020,1,1,19930,Alaska Airlines Inc.,3,1676350.00,55929068.00,57605418.00,125399.00,79860.00,205259.00,57810677.00,3289046.00,125900915.00,129189961.00,246036.00,160179.00,406215.00,129596176.00
2020,1,1,19977,United Air Lines Inc.,3,0.00,133344018.00,133344018.00,0.00,1066327.00,1066327.00,134410345.00,0.00,262623470.00,262623470.00,0.00,2108697.00,2108697.00,264732167.00
2020,1,1,20007,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,13871264.00,13871264.00,13871264.00,0.00,0.00,0.00,0.00,30708154.00,30708154.00,30708154.00
2020,1,1,20046,Air Wisconsin Airlines Corp,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20100,Polar Air Cargo Airways,3,0.00,2222617.00,2222617.00,0.00,0.00,0.00,2222617.00,0.00,4381062.00,4381062.00,0.00,0.00,0.00,4381062.00
2020,1,1,20107,Federal Express Corporation,3,0.00,56221302.00,56221302.00,492.00,1423437.00,1423929.00,57645231.00,0.00,109113000.00,109113000.00,977.00,2836000.00,2836977.00,111949977.00
2020,1,1,20108,Northern Air Cargo Inc.,1,0.00,363383.00,363383.00,0.00,0.00,0.00,363383.00,0.00,709214.00,709214.00,0.00,0.00,0.00,709214.00
2020,1,1,20151,Amerijet International,2,0.00,0.00,0.00,0.00,887493.00,887493.00,887493.00,0.00,0.00,0.00,0.00,1873791.00,1873791.00,1873791.00
2020,1,1,20166,Gulf And Caribbean Cargo,1,0.00,0.00,0.00,0.00,103933.00,103933.00,103933.00,0.00,0.00,0.00,0.00,280000.00,280000.00,280000.00
2020,1,1,20169,Lynden Air Cargo Airlines,2,128242.00,0.00,128242.00,103026.00,34562.00,137588.00,265830.00,289575.00,0.00,289575.00,272197.00,79349.00,351546.00,641121.00
2020,1,1,20177,Asia Pacific,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20190,Southern Air Inc.,2,0.00,1842484.00,1842484.00,0.00,0.00,0.00,1842484.00,0.00,3979796.00,3979796.00,0.00,0.00,0.00,3979796.00
2020,1,1,20195,Sky Lease Cargo,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20304,SkyWest Airlines Inc.,3,0.00,8238022.00,8238022.00,0.00,0.00,0.00,8238022.00,0.00,19840048.00,19840048.00,0.00,0.00,0.00,19840048.00
2020,1,1,20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0.00,0.00,0.00,0.00,42582.00,42582.00,42582.00,0.00,0.00,0.00,0.00,97654.00,97654.00,97654.00
2020,1,1,20363,Endeavor Air Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20366,ExpressJet Airlines LLC,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20368,Allegiant Air,3,0.00,14063269.00,14063269.00,0.00,470187.00,470187.00,14533456.00,0.00,30876057.00,30876057.00,0.00,1095638.00,1095638.00,31971695.00
2020,1,1,20370,Kalitta Air LLC,3,0.00,0.00,0.00,0.00,2422709.00,2422709.00,2422709.00,0.00,0.00,0.00,0.00,4989116.00,4989116.00,4989116.00
2020,1,1,20372,Kalitta Charters II,1,0.00,0.00,0.00,0.00,46434.00,46434.00,46434.00,0.00,0.00,0.00,0.00,123231.00,123231.00,123231.00
2020,1,1,20377,Omni Air International LLC,2,0.00,0.00,0.00,0.00,649713.00,649713.00,649713.00,0.00,0.00,0.00,0.00,1706798.00,1706798.00,1706798.00
2020,1,1,20378,Mesa Airlines Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20397,PSA Airlines Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20398,Envoy Air,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20401,Silver Airways,1,,320067.00,320067.00,0.00,0.00,0.00,320067.00,0.00,648866.00,648866.00,0.00,0.00,0.00,648866.00
2020,1,1,20402,Miami Air International,2,0.00,0.00,0.00,0.00,267291.00,267291.00,267291.00,0.00,0.00,0.00,0.00,728168.00,728168.00,728168.00
2020,1,1,20405,National Air Cargo Group Inc d/ba National Airlines,2,0.00,0.00,0.00,0.00,3474.00,3474.00,3474.00,0.00,0.00,0.00,0.00,11231.00,11231.00,11231.00
2020,1,1,20408,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,258782.00,0.00,258782.00,33761.00,8949.00,42710.00,301492.00,681255.00,0.00,681255.00,88877.00,23559.00,112436.00,793691.00
2020,1,1,20409,JetBlue Airways,3,0.00,57922947.00,57922947.00,0.00,0.00,0.00,57922947.00,0.00,122393395.00,122393395.00,0.00,0.00,0.00,122393395.00
2020,1,1,20416,Spirit Air Lines,3,0.00,35604732.00,35604732.00,0.00,0.00,0.00,35604732.00,0.00,76233000.00,76233000.00,0.00,0.00,0.00,76233000.00
2020,1,1,20422,Sun Country Airlines d/b/a MN Airlines,2,0.00,3828515.00,3828515.00,0.00,821900.00,821900.00,4650415.00,0.00,5721978.00,5721978.00,0.00,1047261.00,1047261.00,6769239.00
2020,1,1,20436,Frontier Airlines Inc.,3,0.00,24322291.00,24322291.00,0.00,0.00,0.00,24322291.00,0.00,46847127.00,46847127.00,0.00,0.00,0.00,46847127.00
2020,1,1,20447,USA Jet Airlines Inc.,2,0.00,0.00,0.00,0.00,185322.00,185322.00,185322.00,0.00,0.00,0.00,0.00,365826.00,365826.00,365826.00
2020,1,1,20452,Republic Airline,3,0.00,12582.00,12582.00,0.00,0.00,0.00,12582.00,0.00,27315.00,27315.00,0.00,0.00,0.00,27315.00
2020,1,1,20453,ABX Air Inc,2,0.00,162371.00,162371.00,0.00,0.00,0.00,162371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,20500,GoJet Airlines LLC d/b/a United Express,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,0.00,0.00,0.00,0.00,1695771.00,1695771.00,1695771.00,0.00,0.00,0.00,0.00,3319919.00,3319919.00,3319919.00
2020,1,1,21167,Compass Airlines,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,21352,Avjet Corporation,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,1,1,21492,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0.00,0.00,0.00,0.00,52955.00,52955.00,52955.00,0.00,0.00,0.00,0.00,171045.00,171045.00,171045.00
