YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2019,1,1,19393,Southwest Airlines Co.,3,0.00,162877133.00,162877133.00,0.00,214816.00,214816.00,163091949.00,0.00,311257985.00,311257985.00,0.00,402554.00,402554.00,311660539.00
2019,1,1,19687,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,1,1,19690,Hawaiian Airlines Inc.,3,0.00,15257659.00,15257659.00,0.00,22465.00,22465.00,15280124.00,0.00,27092396.00,27092396.00,0.00,37476.00,37476.00,27129872.00
2019,1,1,19790,Delta Air Lines Inc.,3,0.00,165835898.00,165835898.00,0.00,2047735.00,2047735.00,167883633.00,0.00,340011832.00,340011832.00,0.00,5412199.00,5412199.00,345424031.00
2019,1,1,19805,American Airlines Inc.,3,0.00,181805365.00,181805365.00,0.00,475194.00,475194.00,182280559.00,0.00,330993694.00,330993694.00,0.00,873738.00,873738.00,331867432.00
2019,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,23622.00,23622.00,23622.00,0.00,0.00,0.00,0.00,43613.00,43613.00,43613.00
2019,1,1,19917,United Parcel Service,3,0.00,41673000.00,41673000.00,0.00,0.00,0.00,41673000.00,0.00,75938000.00,75938000.00,0.00,0.00,0.00,75938000.00
2019,1,1,19930,Alaska Airlines Inc.,3,1690815.00,54110565.00,55801380.00,30061.00,50167.00,80228.00,55881608.00,3132134.00,111146753.00,114278887.00,55686.00,93458.00,149144.00,114428031.00
2019,1,1,19977,United Air Lines Inc.,3,0.00,127590604.00,127590604.00,0.00,1003428.00,1003428.00,128594032.00,0.00,234726719.00,234726719.00,0.00,1863921.00,1863921.00,236590640.00
2019,1,1,20007,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,14285985.00,14285985.00,14285985.00,0.00,0.00,0.00,0.00,30473337.00,30473337.00,30473337.00
