YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2004,1,1,19386,Northwest Airlines Inc.,3,0.00,81853344.00,81853344.00,0.00,243517.00,243517.00,82096861.00,0.00,81487251.00,81487251.00,0.00,223852.00,223852.00,81711103.00
2004,1,1,19393,Southwest Airlines Co.,3,0.00,95237534.00,95237534.00,0.00,0.00,0.00,95237534.00,0.00,72758956.00,72758956.00,0.00,0.00,0.00,72758956.00
2004,1,1,19678,Aloha Airlines Inc.,2,0.00,4664156.00,4664156.00,0.00,0.00,0.00,4664156.00,0.00,4793980.00,4793980.00,0.00,0.00,0.00,4793980.00
2004,1,1,19687,Horizon Air,2,0.00,3670419.00,3670419.00,0.00,38344.00,38344.00,3708763.00,0.00,4354344.00,4354344.00,0.00,45334.00,45334.00,4399678.00
2004,1,1,19690,Hawaiian Airlines Inc.,2,0.00,8107408.00,8107408.00,0.00,168799.00,168799.00,8276207.00,0.00,8013123.00,8013123.00,0.00,166071.00,166071.00,8179194.00
2004,1,1,19704,Continental Air Lines Inc.,3,0.00,63913000.00,63913000.00,0.00,89000.00,89000.00,64002000.00,0.00,61403000.00,61403000.00,0.00,84000.00,84000.00,61487000.00
2004,1,1,19790,Delta Air Lines Inc.,3,0.00,131565519.00,131565519.00,0.00,208086.00,208086.00,131773605.00,0.00,120821534.00,120821534.00,0.00,191093.00,191093.00,121012627.00
2004,1,1,19805,American Airlines Inc.,3,0.00,173768482.00,173768482.00,0.00,660147.00,660147.00,174428629.00,0.00,156324988.00,156324988.00,0.00,638548.00,638548.00,156963536.00
2004,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,3570338.00,3570338.00,3570338.00,0.00,0.00,0.00,0.00,3476899.00,3476899.00,3476899.00
2004,1,1,19917,United Parcel Service,3,0.00,0.00,0.00,0.00,28377000.00,28377000.00,28377000.00,0.00,0.00,0.00,0.00,29969000.00,29969000.00,29969000.00
2004,1,1,19930,Alaska Airlines Inc.,3,2042985.00,23480893.00,25523878.00,37462.00,27791.00,65253.00,25589131.00,2085648.00,24088002.00,26173650.00,38244.00,27978.00,66222.00,26239872.00
