YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2001,1,1,19385,Reeve Aleutian Airways Inc.,1,0.00,0.00,0.00,116526.00,0.00,116526.00,116526.00,0.00,0.00,0.00,115622.00,0.00,115622.00,115622.00
2001,1,1,19386,Northwest Airlines Inc.,3,0.00,99487540.00,99487540.00,0.00,533936.00,533936.00,100021476.00,0.00,91226763.00,91226763.00,0.00,483144.00,483144.00,91709907.00
2001,1,1,19393,Southwest Airlines Co.,3,0.00,89946859.00,89946859.00,0.00,0.00,0.00,89946859.00,0.00,76904337.00,76904337.00,0.00,0.00,0.00,76904337.00
2001,1,1,19678,Aloha Airlines Inc.,2,0.00,3740421.00,3740421.00,0.00,18231.00,18231.00,3758652.00,0.00,3543736.00,3543736.00,0.00,16604.00,16604.00,3560340.00
2001,1,1,19687,Horizon Air,2,0.00,5173434.00,5173434.00,0.00,54603.00,54603.00,5228037.00,0.00,5338054.00,5338054.00,0.00,56041.00,56041.00,5394095.00
2001,1,1,19690,Hawaiian Airlines Inc.,2,0.00,8927059.00,8927059.00,0.00,1310767.00,1310767.00,10237826.00,0.00,7623882.00,7623882.00,0.00,1119752.00,1119752.00,8743634.00
2001,1,1,19704,Continental Air Lines Inc.,3,0.00,81907000.00,81907000.00,0.00,77000.00,77000.00,81984000.00,0.00,72217000.00,72217000.00,0.00,116000.00,116000.00,72333000.00
2001,1,1,19790,Delta Air Lines Inc.,3,100928.00,170493230.00,170594158.00,0.00,105869.00,105869.00,170700027.00,101130.00,127196039.00,127297169.00,0.00,78906.00,78906.00,127376075.00
2001,1,1,19805,American Airlines Inc.,3,0.00,176022771.00,176022771.00,0.00,372905.00,372905.00,176395676.00,0.00,143002500.00,143002500.00,0.00,339752.00,339752.00,143342252.00
2001,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,4862270.00,4862270.00,4862270.00,0.00,0.00,0.00,0.00,5016612.00,5016612.00,5016612.00
2001,1,1,19898,Emery Worldwide Airlines,2,0.00,0.00,0.00,0.00,16039426.00,16039426.00,16039426.00,0.00,0.00,0.00,0.00,14680222.00,14680222.00,14680222.00
