YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2007,1,1,19386,Northwest Airlines Inc.,3,0.00,72180076.00,72180076.00,0.00,150134.00,150134.00,72330210.00,0.00,147643881.00,147643881.00,0.00,300268.00,300268.00,147944149.00
2007,1,1,19393,Southwest Airlines Co.,3,0.00,119510224.00,119510224.00,0.00,0.00,0.00,119510224.00,0.00,198506609.00,198506609.00,0.00,0.00,0.00,198506609.00
2007,1,1,19678,Aloha Airlines Inc.,2,0.00,4149668.00,4149668.00,0.00,0.00,0.00,4149668.00,0.00,7709733.00,7709733.00,0.00,0.00,0.00,7709733.00
2007,1,1,19687,Horizon Air,2,0.00,4602725.00,4602725.00,0.00,47277.00,47277.00,4650002.00,0.00,9349455.00,9349455.00,0.00,96017.00,96017.00,9445472.00
2007,1,1,19690,Hawaiian Airlines Inc.,2,0.00,9520406.00,9520406.00,0.00,185551.00,185551.00,9705957.00,0.00,17363378.00,17363378.00,0.00,333964.00,333964.00,17697342.00
2007,1,1,19704,Continental Air Lines Inc.,3,0.00,65612000.00,65612000.00,0.00,12000.00,12000.00,65624000.00,0.00,121902000.00,121902000.00,0.00,20000.00,20000.00,121922000.00
2007,1,1,19790,Delta Air Lines Inc.,3,0.00,97585234.00,97585234.00,0.00,18780.00,18780.00,97604014.00,0.00,191452797.00,191452797.00,0.00,354673.00,354673.00,191807470.00
2007,1,1,19805,American Airlines Inc.,3,0.00,155340701.00,155340701.00,0.00,242293.00,242293.00,155582994.00,0.00,269131128.00,269131128.00,0.00,242038.00,242038.00,269373166.00
2007,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,3449332.00,3449332.00,3449332.00,0.00,0.00,0.00,0.00,6835065.00,6835065.00,6835065.00
2007,1,1,19917,United Parcel Service,3,0.00,0.00,0.00,0.00,35193000.00,35193000.00,35193000.00,0.00,0.00,0.00,0.00,60907000.00,60907000.00,60907000.00
