YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2010,1,1,19393,Southwest Airlines Co.,3,0.00,110706518.00,110706518.00,0.00,335034.00,335034.00,111041552.00,0.00,263645718.00,263645718.00,0.00,839237.00,839237.00,264484955.00
2010,1,1,19687,Horizon Air,2,0.00,4836222.00,4836222.00,0.00,0.00,0.00,4836222.00,0.00,10245987.00,10245987.00,0.00,0.00,0.00,10245987.00
2010,1,1,19690,Hawaiian Airlines Inc.,3,0.00,10090864.00,10090864.00,0.00,8636.00,8636.00,10099500.00,0.00,20972813.00,20972813.00,0.00,19208.00,19208.00,20992021.00
2010,1,1,19704,Continental Air Lines Inc.,3,0.00,50968000.00,50968000.00,0.00,70000.00,70000.00,51038000.00,0.00,106185000.00,106185000.00,0.00,164000.00,164000.00,106349000.00
2010,1,1,19790,Delta Air Lines Inc.,3,0.00,128689884.00,128689884.00,0.00,1024606.00,1024606.00,129714490.00,0.00,281360743.00,281360743.00,0.00,2240144.00,2240144.00,283600887.00
2010,1,1,19805,American Airlines Inc.,3,0.00,128336270.00,128336270.00,0.00,194779.00,194779.00,128531049.00,0.00,298476945.00,298476945.00,0.00,407735.00,407735.00,298884680.00
2010,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,2433157.00,2433157.00,2433157.00,0.00,0.00,0.00,0.00,5659367.00,5659367.00,5659367.00
2010,1,1,19917,United Parcel Service,3,0.00,28998000.00,28998000.00,0.00,0.00,0.00,28998000.00,0.00,62149000.00,62149000.00,0.00,0.00,0.00,62149000.00
2010,1,1,19930,Alaska Airlines Inc.,3,1530249.00,22075377.00,23605626.00,22608.00,76421.00,99029.00,23704655.00,3233158.00,46793065.00,50026223.00,47767.00,158421.00,206188.00,50232411.00
2010,1,1,19977,United Air Lines Inc.,3,0.00,78470838.00,78470838.00,0.00,192964.00,192964.00,78663802.00,0.00,168027115.00,168027115.00,0.00,416464.00,416464.00,168443579.00
2010,1,1,20007,Atlas Air Inc.,3,0.00,21075.00,21075.00,301401.00,1401730.00,1703131.00,1724206.00,0.00,54910.00,54910.00,807755.00,3652153.00,4459908.00,4514818.00
2010,1,1,20017,Continental Micronesia,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,1,1,20046,Air Wisconsin Airlines Corp,2,0.00,6094342.00,6094342.00,0.00,0.00,0.00,6094342.00,0.00,14528032.00,14528032.00,0.00,0.00,0.00,14528032.00
2010,1,1,20057,Evergreen International Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,1,1,20095,World Airways Inc.,2,0.00,0.00,0.00,0.00,9148.00,9148.00,9148.00,0.00,0.00,0.00,0.00,23699.00,23699.00,23699.00
2010,1,1,20100,Polar Air Cargo Airways,2,0.00,1801406.00,1801406.00,0.00,6271.00,6271.00,1807677.00,0.00,4693493.00,4693493.00,0.00,16806.00,16806.00,4710299.00
2010,1,1,20107,Federal Express Corporation,3,0.00,53268799.00,53268799.00,4625.00,1485702.00,1490327.00,54759126.00,0.00,110952000.00,110952000.00,10000.00,3097000.00,3107000.00,114059000.00
2010,1,1,20108,Northern Air Cargo Inc.,1,315861.00,0.00,315861.00,9514.00,50424.00,59938.00,375799.00,710240.00,0.00,710240.00,21393.00,113382.00,134775.00,845015.00
2010,1,1,20149,Florida West Airlines Inc.,1,0.00,0.00,0.00,0.00,60448.00,60448.00,60448.00,0.00,0.00,0.00,0.00,137009.00,137009.00,137009.00
