YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2005,1,1,19386,Northwest Airlines Inc.,3,0.00,82690624.00,82690624.00,0.00,80677.00,80677.00,82771301.00,0.00,109707683.00,109707683.00,0.00,112947.00,112947.00,109820630.00
2005,1,1,19393,Southwest Airlines Co.,3,0.00,103178127.00,103178127.00,0.00,0.00,0.00,103178127.00,0.00,93446807.00,93446807.00,0.00,0.00,0.00,93446807.00
2005,1,1,19678,Aloha Airlines Inc.,2,0.00,5151225.00,5151225.00,0.00,0.00,0.00,5151225.00,0.00,6631793.00,6631793.00,0.00,0.00,0.00,6631793.00
2005,1,1,19687,Horizon Air,2,0.00,3903244.00,3903244.00,0.00,40326.00,40326.00,3943570.00,0.00,5054297.00,5054297.00,0.00,52282.00,52282.00,5106579.00
2005,1,1,19690,Hawaiian Airlines Inc.,2,0.00,7719858.00,7719858.00,0.00,378170.00,378170.00,8098028.00,0.00,10000472.00,10000472.00,0.00,488933.00,488933.00,10489405.00
2005,1,1,19704,Continental Air Lines Inc.,3,0.00,59424000.00,59424000.00,0.00,307000.00,307000.00,59731000.00,0.00,77092000.00,77092000.00,0.00,401000.00,401000.00,77493000.00
2005,1,1,19790,Delta Air Lines Inc.,3,0.00,129182608.00,129182608.00,0.00,219630.00,219630.00,129402238.00,0.00,172080935.00,172080935.00,0.00,292564.00,292564.00,172373499.00
2005,1,1,19805,American Airlines Inc.,3,0.00,164428283.00,164428283.00,0.00,591156.00,591156.00,165019439.00,0.00,209724302.00,209724302.00,0.00,767409.00,767409.00,210491711.00
2005,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,3726135.00,3726135.00,3726135.00,0.00,0.00,0.00,0.00,4810574.00,4810574.00,4810574.00
2005,1,1,19917,United Parcel Service,3,0.00,0.00,0.00,0.00,28575000.00,28575000.00,28575000.00,0.00,0.00,0.00,0.00,39381000.00,39381000.00,39381000.00
2005,1,1,19930,Alaska Airlines Inc.,3,1867362.00,25085346.00,26952708.00,28935.00,9072.00,38007.00,26990715.00,2420935.00,32188587.00,34609522.00,37513.00,11263.00,48776.00,34658298.00
2005,1,1,19977,United Air Lines Inc.,3,0.00,100655079.00,100655079.00,0.00,227696.00,227696.00,100882775.00,0.00,137312854.00,137312854.00,0.00,310623.00,310623.00,137623477.00
2005,1,1,19991,America West Airlines Inc.,3,0.00,34517091.00,34517091.00,0.00,25118.00,25118.00,34542209.00,0.00,46388870.00,46388870.00,0.00,34550.00,34550.00,46423420.00
2005,1,1,20007,Atlas Air Inc.,2,0.00,0.00,0.00,0.00,2797004.00,2797004.00,2797004.00,0.00,0.00,0.00,0.00,45256804.00,45256804.00,45256804.00
2005,1,1,20017,Continental Micronesia,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2005,1,1,20046,Air Wisconsin Airlines Corp,2,0.00,8415456.00,8415456.00,0.00,0.00,0.00,8415456.00,0.00,13281367.00,13281367.00,0.00,0.00,0.00,13281367.00
2005,1,1,20057,Evergreen International Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2005,1,1,20095,World Airways Inc.,2,0.00,0.00,0.00,0.00,267709.00,267709.00,267709.00,0.00,0.00,0.00,0.00,409873.00,409873.00,409873.00
2005,1,1,20100,Polar Air Cargo Airways,2,0.00,1487551.00,1487551.00,0.00,1683334.00,1683334.00,3170885.00,0.00,2335455.00,2335455.00,0.00,2423117.00,2423117.00,4758572.00
2005,1,1,20107,Federal Express Corporation,3,0.00,61870488.00,61870488.00,0.00,1921870.00,1921870.00,63792358.00,0.00,78336000.00,78336000.00,0.00,2426000.00,2426000.00,80762000.00
2005,1,1,20108,Northern Air Cargo Inc.,1,356060.00,0.00,356060.00,30332.00,16288.00,46620.00,402680.00,635439.00,0.00,635439.00,64917.00,29597.00,94514.00,729953.00
2005,1,1,20147,TransMeridian Airlines,1,0.00,0.00,0.00,0.00,1010761.00,1010761.00,1010761.00,0.00,0.00,0.00,0.00,1452086.00,1452086.00,1452086.00
2005,1,1,20149,Florida West Airlines Inc.,1,0.00,0.00,0.00,0.00,25535.00,25535.00,25535.00,0.00,0.00,0.00,0.00,34528.00,34528.00,34528.00
2005,1,1,20151,Amerijet International,1,0.00,0.00,0.00,0.00,2954.00,2954.00,2954.00,0.00,0.00,0.00,0.00,4670.00,4670.00,4670.00
2005,1,1,20169,Lynden Air Cargo Airlines,1,106983.00,0.00,106983.00,31539.00,38749.00,70288.00,177271.00,171445.00,0.00,171445.00,63023.00,35739.00,98762.00,270207.00
2005,1,1,20170,Mesaba Airlines,2,0.00,1846340.00,1846340.00,0.00,0.00,0.00,1846340.00,0.00,1541694.00,1541694.00,0.00,0.00,0.00,1541694.00
2005,1,1,20190,Southern Air Inc.,1,0.00,0.00,0.00,36823.00,72795.00,109618.00,109618.00,0.00,0.00,0.00,58552.00,105589.00,164141.00,164141.00
2005,1,1,20193,Gemini Air Cargo Airways,2,0.00,7684.00,7684.00,0.00,75805.00,75805.00,83489.00,0.00,11697.00,11697.00,0.00,112219.00,112219.00,123916.00
2005,1,1,20194,Arrow Air Inc.,2,0.00,111868.00,111868.00,0.00,17622.00,17622.00,129490.00,0.00,156360.00,156360.00,0.00,25626.00,25626.00,181986.00
2005,1,1,20203,Falcon Air Express,1,0.00,0.00,0.00,0.00,26777.00,26777.00,26777.00,0.00,0.00,0.00,0.00,36952.00,36952.00,36952.00
2005,1,1,20204,Champion Air,2,0.00,0.00,0.00,0.00,1752288.00,1752288.00,1752288.00,0.00,0.00,0.00,0.00,2865352.00,2865352.00,2865352.00
2005,1,1,20207,Casino Express,1,0.00,231139.00,231139.00,0.00,121520.00,121520.00,352659.00,0.00,450032.00,450032.00,0.00,245629.00,245629.00,695661.00
2005,1,1,20237,Trans States Airlines,2,0.00,5390407.00,5390407.00,0.00,0.00,0.00,5390407.00,0.00,7933050.00,7933050.00,0.00,0.00,0.00,7933050.00
2005,1,1,20284,Express.Net Airlines,1,0.00,0.00,0.00,0.00,123725.00,123725.00,123725.00,0.00,0.00,0.00,0.00,197960.00,197960.00,197960.00
2005,1,1,20302,Kitty Hawk Aircargo,1,0.00,0.00,0.00,0.00,2430290.00,2430290.00,2430290.00,0.00,0.00,0.00,0.00,3480418.00,3480418.00,3480418.00
2005,1,1,20304,SkyWest Airlines Inc.,2,0.00,16595395.00,16595395.00,0.00,0.00,0.00,16595395.00,0.00,24947809.00,24947809.00,0.00,0.00,0.00,24947809.00
2005,1,1,20305,Pace Airlines,1,0.00,0.00,0.00,0.00,787348.00,787348.00,787348.00,0.00,0.00,0.00,0.00,1313297.00,1313297.00,1313297.00
2005,1,1,20312,ATA Airlines d/b/a ATA,3,0.00,13548517.00,13548517.00,0.00,1039342.00,1039342.00,14587859.00,0.00,17694260.00,17694260.00,0.00,1407573.00,1407573.00,19101833.00
2005,1,1,20314,"Midwest Airline, Inc.",2,0.00,5959729.00,5959729.00,0.00,161919.00,161919.00,6121648.00,0.00,8076154.00,8076154.00,0.00,237159.00,237159.00,8313313.00
2005,1,1,20344,Ryan International Airlines,2,0.00,0.00,0.00,0.00,15799.00,15799.00,15799.00,0.00,0.00,0.00,0.00,24471.00,24471.00,24471.00
2005,1,1,20351,Primaris Airlines Inc.,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2005,1,1,20354,Aerodynamics Inc.,1,0.00,0.00,0.00,0.00,72537.00,72537.00,72537.00,0.00,0.00,0.00,0.00,104556.00,104556.00,104556.00
2005,1,1,20355,US Airways Inc.,3,0.00,58869000.00,58869000.00,0.00,35000.00,35000.00,58904000.00,0.00,80823000.00,80823000.00,0.00,47000.00,47000.00,80870000.00
2005,1,1,20357,Astar Air Cargo Inc.,2,0.00,0.00,0.00,0.00,32830.00,32830.00,32830.00,0.00,0.00,0.00,0.00,62423.00,62423.00,62423.00
2005,1,1,20363,Pinnacle Airlines Inc.,2,0.00,10344714.00,10344714.00,0.00,102622.00,102622.00,10447336.00,0.00,8068877.00,8068877.00,0.00,80045.00,80045.00,8148922.00
2005,1,1,20366,Atlantic Southeast Airlines,2,0.00,13835909.00,13835909.00,0.00,64516.00,64516.00,13900425.00,0.00,18602236.00,18602236.00,0.00,86741.00,86741.00,18688977.00
2005,1,1,20368,Allegiant Air,1,0.00,1174295.00,1174295.00,0.00,379149.00,379149.00,1553444.00,0.00,1710166.00,1710166.00,0.00,592544.00,592544.00,2302710.00
2005,1,1,20370,Kalitta Air LLC,2,0.00,0.00,0.00,0.00,2005965.00,2005965.00,2005965.00,0.00,0.00,0.00,0.00,2836892.00,2836892.00,2836892.00
2005,1,1,20374,ExpressJet Airlines Inc.,3,0.00,20423184.00,20423184.00,0.00,0.00,0.00,20423184.00,0.00,13479301.00,13479301.00,0.00,0.00,0.00,13479301.00
2005,1,1,20377,Omni Air Express,2,0.00,0.00,0.00,0.00,1007380.00,1007380.00,1007380.00,0.00,0.00,0.00,0.00,1323295.00,1323295.00,1323295.00
2005,1,1,20378,Mesa Airlines Inc.,2,0.00,15070077.00,15070077.00,0.00,0.00,0.00,15070077.00,0.00,18912658.00,18912658.00,0.00,0.00,0.00,18912658.00
2005,1,1,20397,PSA Airlines Inc.,1,0.00,3952519.00,3952519.00,0.00,0.00,0.00,3952519.00,0.00,5739462.00,5739462.00,0.00,0.00,0.00,5739462.00
2005,1,1,20398,American Eagle Airlines Inc.,3,0.00,20587047.00,20587047.00,0.00,0.00,0.00,20587047.00,0.00,28970834.00,28970834.00,0.00,0.00,0.00,28970834.00
2005,1,1,20402,Miami Air International,1,0.00,0.00,0.00,0.00,510702.00,510702.00,510702.00,0.00,0.00,0.00,0.00,824784.00,824784.00,824784.00
2005,1,1,20404,Independence Air,2,0.00,9259652.00,9259652.00,0.00,1663.00,1663.00,9261315.00,0.00,13960629.00,13960629.00,0.00,3016.00,3016.00,13963645.00
2005,1,1,20408,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,202798.00,0.00,202798.00,6515.00,0.00,6515.00,209313.00,538035.00,0.00,538035.00,17285.00,0.00,17285.00,555320.00
