YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
2015,1,1,19393,Southwest Airlines Co.,3,0.00,142391393.00,142391393.00,0.00,247448.00,247448.00,142638841.00,0.00,277084552.00,277084552.00,0.00,488399.00,488399.00,277572951.00
2015,1,1,19687,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2015,1,1,19690,Hawaiian Airlines Inc.,3,0.00,13589456.00,13589456.00,0.00,98375.00,98375.00,13687831.00,0.00,25405720.00,25405720.00,0.00,199956.00,199956.00,25605676.00
2015,1,1,19790,Delta Air Lines Inc.,3,0.00,128505448.00,128505448.00,0.00,1611048.00,1611048.00,130116496.00,0.00,321234269.00,321234269.00,0.00,4481227.00,4481227.00,325715496.00
2015,1,1,19805,American Airlines Inc.,3,0.00,110155124.00,110155124.00,0.00,240115.00,240115.00,110395239.00,0.00,195473294.00,195473294.00,0.00,407948.00,407948.00,195881242.00
2015,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,14998.00,14998.00,14998.00,0.00,0.00,0.00,0.00,52103.00,52103.00,52103.00
2015,1,1,19917,United Parcel Service,3,0.00,30696000.00,30696000.00,0.00,0.00,0.00,30696000.00,0.00,50705000.00,50705000.00,0.00,0.00,0.00,50705000.00
2015,1,1,19930,Alaska Airlines Inc.,3,1384140.00,31594040.00,32978180.00,26571.00,33723.00,60294.00,33038474.00,2619735.00,63004157.00,65623892.00,50290.00,58467.00,108757.00,65732649.00
2015,1,1,19977,United Air Lines Inc.,3,0.00,107320509.00,107320509.00,0.00,996136.00,996136.00,108316645.00,0.00,187329301.00,187329301.00,0.00,2653675.00,2653675.00,189982976.00
2015,1,1,20007,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,4710772.00,4710772.00,4710772.00,0.00,0.00,0.00,0.00,10592898.00,10592898.00,10592898.00
2015,1,1,20046,Air Wisconsin Airlines Corp,2,0.00,6472639.00,6472639.00,0.00,0.00,0.00,6472639.00,0.00,13048498.00,13048498.00,0.00,0.00,0.00,13048498.00
2015,1,1,20100,Polar Air Cargo Airways,3,0.00,2545828.00,2545828.00,0.00,0.00,0.00,2545828.00,0.00,4488091.00,4488091.00,0.00,0.00,0.00,4488091.00
2015,1,1,20107,Federal Express Corporation,3,0.00,56990489.00,56990489.00,700.00,1375976.00,1376676.00,58367165.00,0.00,96924000.00,96924000.00,1000.00,2468000.00,2469000.00,99393000.00
2015,1,1,20108,Northern Air Cargo Inc.,1,302864.00,0.00,302864.00,26617.00,0.00,26617.00,329481.00,558213.00,0.00,558213.00,48092.00,0.00,48092.00,606305.00
2015,1,1,20149,Florida West Airlines Inc.,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2015,1,1,20151,Amerijet International,2,0.00,0.00,0.00,0.00,215314.00,215314.00,215314.00,0.00,0.00,0.00,0.00,385876.00,385876.00,385876.00
2015,1,1,20166,Gulf And Caribbean Cargo,1,0.00,0.00,0.00,0.00,51222.00,51222.00,51222.00,0.00,0.00,0.00,0.00,116655.00,116655.00,116655.00
2015,1,1,20169,Lynden Air Cargo Airlines,1,78107.00,0.00,78107.00,10133.00,13611.00,23744.00,101851.00,166748.00,0.00,166748.00,25983.00,36671.00,62654.00,229402.00
2015,1,1,20177,Asia Pacific,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2015,1,1,20190,Southern Air Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
