Year,Quarter,Total_Mkt_Fare,depart_city,arrival_city,airlineID,Passengers_by_Carrier,CarriersMktShare,CarrierAvgFare,Carrier_MinFareIncrement,CarrierMinPassangerShare,CarrierMaxFareIncrement,CarrierMaxPassengerShare,depart_state,arrival_state,Avg_TDOMT_COST_carrier,avg_TDOMT_GALLONS_carrier,Monthly Average Temperature_depart,Monthly Total Precepitation_depart,Monthly Average Windspeed_depart,Monthly Average Temperature_arrival,Monthly Total Precepitation_arrival,Monthly Average Windspeed_arrival,distance
2012,4,117.06,32,102,20436,35850,0.29,101.93,75,0.24,150,0.15,5,38,34436908.666666664,11132463.0,5.233333333333333,15.0,14.733333333333334,5.066666666666666,86.9,9.4,378.4011225740058
2018,3,130.92,32,61,19393,58490,0.2773,131.38,75,0.0957,175,0.0774,5,29,378418294.6666667,176535889.66666666,20.85,14.25,16.15,33.03333333333333,7.366666666666667,11.366666666666667,615.5006587152121
2018,3,130.92,32,61,19393,58490,0.2773,131.38,75,0.0957,175,0.0774,5,29,378418294.6666667,176535889.66666666,20.85,14.25,16.15,33.03333333333333,7.366666666666667,11.366666666666667,615.5006587152121
2018,3,130.92,32,61,19393,58490,0.2773,131.38,75,0.0957,175,0.0774,5,29,378418294.6666667,176535889.66666666,20.85,14.25,16.15,33.9,7.366666666666667,11.366666666666667,615.5006587152121
2018,3,130.92,32,61,19977,23840,0.113,160.69,75,0.1128,350,0.0638,5,29,336536538.3333333,154483477.66666666,20.85,14.25,16.15,33.03333333333333,7.366666666666667,11.366666666666667,615.5006587152121
2018,3,130.92,32,61,19977,23840,0.113,160.69,75,0.1128,350,0.0638,5,29,336536538.3333333,154483477.66666666,20.85,14.25,16.15,33.03333333333333,7.366666666666667,11.366666666666667,615.5006587152121
2018,3,130.92,32,61,19977,23840,0.113,160.69,75,0.1128,350,0.0638,5,29,336536538.3333333,154483477.66666666,20.85,14.25,16.15,33.9,7.366666666666667,11.366666666666667,615.5006587152121
2018,3,139.47,32,84,19393,14550,0.2265,147.51,100,0.1924,300,0.0564,5,25,378418294.6666667,176535889.66666666,20.85,14.25,16.15,21.5,168.6,11.55,474.69328759475894
2018,3,139.47,32,84,19393,14550,0.2265,147.51,100,0.1924,300,0.0564,5,25,378418294.6666667,176535889.66666666,20.85,14.25,16.15,22.4,168.6,14.8,474.69328759475894
2018,3,139.47,32,84,19977,13680,0.2129,153.65,75,0.0512,275,0.0702,5,25,336536538.3333333,154483477.66666666,20.85,14.25,16.15,21.5,168.6,11.55,474.69328759475894
2018,3,139.47,32,84,19977,13680,0.2129,153.65,75,0.0512,275,0.0702,5,25,336536538.3333333,154483477.66666666,20.85,14.25,16.15,22.4,168.6,14.8,474.69328759475894
2018,3,271.45,8,21,19790,9580,0.2652,275.49,150,0.0522,375,0.0595,9,24,425982734.0,191201949.66666663,26.2,115.2,10.25,25.96666666666667,179.4,9.566666666666668,227.6138912120633
2018,3,271.45,8,21,19805,8150,0.2256,267.78,175,0.0969,375,0.0613,9,24,415555887.6666667,194190083.0,26.2,115.2,10.25,25.96666666666667,179.4,9.566666666666668,227.6138912120633
2000,1,254.72,67,81,19790,4910,0.15,245.36,75,0.14,500,0.05,15,30,96495724.0,175106114.0,6.366666666666667,117.33333333333331,14.733333333333334,-0.32500000000000007,54.66666666666667,17.03333333333333,649.0175778508774
1996,4,79.1,24,113,19393,20830,0.44,62.58,75,0.69,100,0.3,31,21,46104497.66666666,62962357.333333336,2.05,71.5,16.4,7.994202898550725,60.52173913043478,14.19420289855072,493.34310254746504
1996,4,76.33,30,103,19393,80700,0.68,71.99,75,1.0,75,1.0,37,37,46104497.66666666,62962357.333333336,14.525462962962965,72.3810185185185,13.89074074074074,17.033333333333335,39.333333333333336,12.166666666666666,252.47086396640222
1996,4,76.33,30,103,19393,80700,0.68,71.99,75,1.0,75,1.0,37,37,46104497.66666666,62962357.333333336,14.525462962962965,72.3810185185185,13.89074074074074,16.833333333333332,40.5,12.733333333333334,252.47086396640222
1996,4,76.33,30,103,19393,80700,0.68,71.99,75,1.0,75,1.0,37,37,46104497.66666666,62962357.333333336,14.525462962962965,72.3810185185185,13.89074074074074,16.833333333333332,39.333333333333336,12.166666666666666,252.47086396640222
2004,3,88.77,2,91,19393,58440,0.8,88.48,75,0.28,125,0.48,28,3,82162720.66666667,101936913.33333331,23.760043966241287,78.60039753500133,11.366919684058152,33.266666666666666,9.333333333333334,11.533333333333331,328.0343769623131
2010,3,229.0,30,84,19805,23680,0.83,232.34,150,0.07,350,0.06,37,25,277529844.6666667,128242249.66666669,28.73333333333333,110.66666666666669,13.0,23.666666666666668,115.0,13.833333333333334,586.4883192435785
2010,3,229.0,30,84,19805,23680,0.83,232.34,150,0.07,350,0.06,37,25,277529844.6666667,128242249.66666669,28.73333333333333,110.66666666666669,13.0,23.73333333333333,115.0,14.433333333333332,586.4883192435785
2010,3,229.0,30,84,19805,23680,0.83,232.34,150,0.07,350,0.06,37,25,277529844.6666667,128242249.66666669,29.33333333333333,128.26666666666668,10.1,23.666666666666668,115.0,13.833333333333334,586.4883192435785
2010,3,229.0,30,84,19805,23680,0.83,232.34,150,0.07,350,0.06,37,25,277529844.6666667,128242249.66666669,29.33333333333333,128.26666666666668,10.1,23.73333333333333,115.0,14.433333333333332,586.4883192435785
2007,2,250.32,27,75,19805,3580,0.12,175.34,125,0.2,225,0.06,31,20,304874756.6666667,153463313.0,17.46666666666667,55.333333333333336,12.866666666666667,19.596254333235464,56.761877482113334,12.717929285202871,626.0254572348414
2015,2,295.25,53,123,19790,4430,0.14,283.74,175,0.09,375,0.08,1,7,372748088.3333333,150414071.66666666,22.585964912280694,123.73508771929825,10.052631578947368,19.29252136752137,104.28418803418802,13.805982905982907,606.1754580683197
1997,2,71.07,111,112,19393,17480,0.21,65.5,75,1.0,75,1.0,41,41,38988978.333333336,64793323.333333336,13.199999999999998,77.0,10.866666666666667,11.8,46.0,14.5,227.68408065127355
1997,2,71.07,111,112,19393,17480,0.21,65.5,75,1.0,75,1.0,41,41,38988978.333333336,64793323.333333336,13.199999999999998,77.0,10.866666666666667,11.8,46.0,14.5,227.68408065127355
1997,2,71.07,111,112,19393,17480,0.21,65.5,75,1.0,75,1.0,41,41,38988978.333333336,64793323.333333336,13.199999999999998,77.0,10.866666666666667,11.8,46.0,14.5,227.68408065127355
1997,2,71.07,111,112,19393,17480,0.21,65.5,75,1.0,75,1.0,41,41,38988978.333333336,64793323.333333336,13.199999999999998,77.0,10.866666666666667,11.8,46.0,14.5,227.68408065127355
2015,2,385.61,34,90,19790,11220,0.27,369.52,100,0.05,700,0.06,19,34,372748088.3333333,150414071.66666666,14.05,109.75,15.05,20.9,30.4,13.8,445.397735284479
2007,3,98.82,81,99,20355,12470,0.14,114.12,75,0.27,150,0.12,30,30,98073892.66666669,45521135.66666666,20.45384802095328,98.9889250152408,10.621895956106483,20.3,48.0,11.8,255.32381335456108
1997,4,71.46,58,79,19393,27700,0.88,63.96,75,0.62,100,0.37,21,36,41098378.66666666,68042553.33333333,7.788888888888888,55.53535353535353,14.434343434343436,9.066666666666666,95.33333333333331,10.533333333333331,471.2551928372705
2006,3,331.05,8,67,19790,13730,0.89,340.62,175,0.19,725,0.05,9,15,242081533.0,107595947.33333331,25.53333333333333,112.33333333333331,10.733333333333334,23.96666666666667,165.0,10.333333333333334,311.8816745605265
1997,4,78.42,10,52,19393,67880,0.81,75.42,75,0.34,100,0.65,37,37,41098378.66666666,68042553.33333333,15.133333333333333,106.66666666666669,11.8,14.6,135.0,9.666666666666666,145.77313646293229
2007,4,289.32,60,123,20355,10720,0.7,314.83,150,0.06,475,0.05,36,7,196199049.66666663,78584725.66666667,11.766666666666666,79.66666666666667,8.033333333333333,11.533333333333331,95.33333333333331,12.6,430.8968198255366
1997,4,70.17,97,105,19977,18460,0.25,80.74,75,0.32,100,0.63,29,4,94144356.0,156003747.0,4.9,13.666666666666666,6.400000000000001,13.833333333333334,104.66666666666669,12.566666666666668,187.04997904700278
2011,3,112.02,2,32,20436,18230,0.31,95.25,75,0.44,175,0.08,28,5,45289955.333333336,14265552.666666666,23.92599128906357,72.44040554599557,11.097545327992878,22.433333333333334,39.333333333333336,14.1,336.06875712754777
2006,1,86.15,111,112,19393,31900,0.25,79.81,75,0.42,100,0.57,41,41,166581648.33333334,109928686.33333331,6.766666666666667,138.66666666666666,11.1,1.6,58.66666666666666,15.866666666666664,227.68408065127355
2006,1,86.15,111,112,19393,31900,0.25,79.81,75,0.42,100,0.57,41,41,166581648.33333334,109928686.33333331,6.766666666666667,138.66666666666666,11.1,2.433333333333333,58.66666666666666,11.066666666666668,227.68408065127355
2006,1,86.15,111,112,19393,31900,0.25,79.81,75,0.42,100,0.57,41,41,166581648.33333334,109928686.33333331,6.766666666666667,138.66666666666666,11.1,1.7666666666666666,58.66666666666666,15.966666666666669,227.68408065127355
2006,1,86.15,111,112,19393,31900,0.25,79.81,75,0.42,100,0.57,41,41,166581648.33333334,109928686.33333331,7.266666666666666,138.66666666666666,14.966666666666669,1.6,58.66666666666666,15.866666666666664,227.68408065127355
2006,1,86.15,111,112,19393,31900,0.25,79.81,75,0.42,100,0.57,41,41,166581648.33333334,109928686.33333331,7.266666666666666,138.66666666666666,14.966666666666669,2.433333333333333,58.66666666666666,11.066666666666668,227.68408065127355
2006,1,86.15,111,112,19393,31900,0.25,79.81,75,0.42,100,0.57,41,41,166581648.33333334,109928686.33333331,7.266666666666666,138.66666666666666,14.966666666666669,1.7666666666666666,58.66666666666666,15.966666666666669,227.68408065127355
2018,3,283.97,8,67,19790,12430,0.4705,294.94,125,0.0756,500,0.1432,9,15,425982734.0,191201949.66666663,26.2,115.2,10.25,24.85,230.4,10.2,311.8816745605265
2014,4,289.07,34,51,20355,2960,0.14,230.41,175,0.16,300,0.07,19,6,174555457.33333334,71626060.66666667,5.5,43.9,15.033333333333331,6.866666666666667,104.0,12.633333333333333,535.7151897030551
1996,1,73.67,97,104,19994,19260,0.52,80.51,75,0.48,125,0.07,29,4,3861766.0,5912179.333333333,4.4,40.0,9.133333333333336,13.628273809523813,31.161904761904758,8.94672619047619,488.38651211204393
2013,1,285.04,55,75,19790,20090,0.83,291.43,175,0.21,550,0.06,13,20,397544992.3333333,123070063.0,1.8666666666666665,89.26666666666667,16.522222222222222,4.741975526024364,73.77203072001211,14.038129586090053,510.09328510017326
2015,1,100.15,63,106,20368,6670,0.47,100.6,75,0.45,175,0.06,15,8,23588620.666666668,12000728.666666666,0.9333333333333336,84.33333333333333,16.233333333333334,15.9,26.4,11.7,665.0446815329552
1999,4,251.41,8,67,19790,26440,0.96,253.3,100,0.05,400,0.21,9,15,89199069.0,177825289.33333334,12.866666666666664,80.0,11.333333333333334,10.166666666666668,78.33333333333333,12.166666666666666,311.8816745605265
1998,3,233.05,34,71,19790,3670,0.21,180.15,100,0.11,250,0.06,19,36,87808426.33333333,180523886.3333333,21.866666666666664,64.13333333333333,11.733333333333334,28.1,148.25,12.05,623.5838223028783
2002,2,77.62,97,105,19393,59020,0.87,70.98,75,0.54,100,0.45,29,4,62580033.0,93325055.66666669,15.733333333333334,13.0,12.2,14.833333333333334,7.0,21.96666666666667,187.04997904700278
2011,1,293.02,115,123,20355,10770,0.7,287.46,125,0.16,625,0.05,30,7,181712265.66666663,65415428.0,-3.233333333333333,94.66666666666669,14.1,4.666666666666667,74.33333333333333,14.8,289.37096070989963
1997,1,247.32,23,34,19790,4100,0.31,249.86,100,0.05,300,0.44,31,19,116930881.0,169321313.66666666,2.6535825545171337,82.63862928348908,13.547352024922118,-0.8981735159817351,62.8109589041096,15.931506849315069,235.73584533044124
2014,4,270.07,81,82,19805,6000,0.19,240.56,125,0.13,525,0.05,30,39,284150349.0,113556037.33333331,5.023072142437223,90.50483749055178,15.25830351893844,11.666666666666666,74.0,13.933333333333332,291.05109513368285
2001,2,276.22,92,123,20355,37990,0.98,277.64,75,0.06,425,0.08,34,7,78093666.66666667,95408333.33333331,15.966666666666669,79.0,11.033333333333331,18.966666666666665,87.0,13.2,189.7967797466881
2007,2,98.67,30,121,19393,45890,0.67,93.31,75,0.3,125,0.51,37,32,201800505.3333333,124813356.33333331,21.666666666666668,151.20000000000002,13.1,19.76666666666667,181.66666666666663,10.7,235.5922854090546
1999,4,230.09,30,79,19393,4650,0.1,196.28,150,0.19,275,0.26,37,36,53598516.0,79230748.0,14.525462962962965,72.3810185185185,13.89074074074074,11.4,64.0,10.866666666666664,614.1909144727124
2002,2,79.33,66,91,19991,97500,0.23,92.73,75,0.36,175,0.05,4,3,23484189.666666668,33769369.666666664,16.733333333333334,1.5,13.566666666666668,28.83333333333333,0.6666666666666666,11.9,364.41751037266374
2009,2,253.13,52,71,19386,3250,0.2,220.21,125,0.07,225,0.13,37,36,93182101.0,62429445.0,24.166666666666668,93.66666666666669,10.5,23.329402515723274,124.43663522012578,13.202830188679245,484.7946217482536
2009,2,253.13,52,71,19386,3250,0.2,220.21,125,0.07,225,0.13,37,36,93182101.0,62429445.0,25.266666666666666,93.66666666666669,13.1,23.329402515723274,124.43663522012578,13.202830188679245,484.7946217482536
2002,2,241.5,23,81,19704,9660,0.1,275.97,100,0.13,550,0.06,31,30,45369333.333333336,68779000.0,17.133333333333333,148.66666666666666,10.633333333333333,13.466666666666669,115.33333333333331,15.233333333333334,570.5218525673794
2009,2,96.38,104,105,21171,64360,0.1,84.25,75,0.62,175,0.06,4,4,11386804.333333334,7304502.0,17.133333333333333,1.8333333333333333,10.833333333333334,15.366666666666664,5.666666666666667,20.73333333333333,453.55889102990056
2001,1,253.98,16,24,20355,9820,0.18,170.44,100,0.09,175,0.16,17,31,78764333.33333333,90102000.0,3.413569977612257,66.43130164388987,14.036784408334038,0.2,41.6,18.4,547.6488311699138
2000,2,247.71,81,98,19790,10680,0.19,207.73,125,0.28,350,0.18,30,39,100020128.33333331,179435553.0,13.199999999999998,127.0,15.9,19.133333333333333,103.66666666666669,14.0,289.8618332978835
2007,2,224.54,22,98,19977,15930,0.49,245.12,125,0.14,325,0.1,12,39,221298657.3333333,109219377.0,15.666666666666666,64.33333333333333,15.866666666666667,19.3,106.33333333333331,11.633333333333333,618.5927689659435
2007,2,224.54,22,98,19977,15930,0.49,245.12,125,0.14,325,0.1,12,39,221298657.3333333,109219377.0,15.6,64.33333333333333,15.4,19.3,106.33333333333331,11.633333333333333,618.5927689659435
2007,2,224.54,22,98,19977,15930,0.49,245.12,125,0.14,325,0.1,12,39,221298657.3333333,109219377.0,16.466666666666665,76.63333333333333,16.566666666666666,19.3,106.33333333333331,11.633333333333333,618.5927689659435
2001,1,215.16,96,113,19393,5340,0.28,142.62,100,0.11,200,0.26,24,21,69539583.0,88189441.66666667,7.666666666666667,92.33333333333331,9.933333333333335,2.1122023809523816,47.324107142857144,15.820059523809523,666.4415333250672
2004,2,81.85,104,120,19393,38610,0.94,79.5,75,0.41,100,0.57,4,3,81609835.33333333,99342791.66666669,17.52962962962963,11.111111111111109,9.988888888888889,24.666666666666668,9.0,13.133333333333333,366.79925645752513
2001,2,240.25,8,65,19790,14860,0.87,245.96,75,0.05,475,0.05,9,2,113014643.0,165686669.66666666,20.666666666666668,110.33333333333331,10.666666666666666,18.46649758321727,80.882998907693,13.545672753119419,457.98816878932575
1998,3,78.68,24,79,19393,30520,0.7,69.98,75,0.56,100,0.41,31,36,32347993.33333333,72197335.33333333,22.0,69.1,12.2,25.899999999999995,75.66666666666667,8.133333333333333,457.8730056449572
1997,1,76.52,61,97,19393,29560,0.57,76.49,100,1.0,100,1.0,29,29,44537801.333333336,62337806.0,12.5,1.6666666666666667,13.300000000000002,4.333333333333333,34.166666666666664,7.8,338.9569678260563
2014,3,260.83,21,79,20355,12200,0.42,273.6,150,0.08,350,0.23,24,36,210429077.3333333,73805698.33333333,24.066666666666663,102.33333333333331,8.333333333333334,24.73333333333333,68.33333333333333,7.666666666666667,340.62023474714726
2007,3,99.28,15,97,19393,16110,0.96,97.57,100,0.54,125,0.4,11,29,219510052.3333333,129263017.0,23.6,6.166666666666667,10.699999999999998,22.96666666666667,5.0,9.933333333333332,336.51866684721045
2006,1,99.97,30,103,19393,129860,0.74,96.44,75,0.27,125,0.54,37,37,166581648.33333334,109928686.33333331,12.966666666666669,125.56666666666666,17.1,15.833333333333334,20.0,12.8,252.47086396640222
2006,1,99.97,30,103,19393,129860,0.74,96.44,75,0.27,125,0.54,37,37,166581648.33333334,109928686.33333331,12.966666666666669,125.56666666666666,17.1,15.9,20.0,14.766666666666666,252.47086396640222
2006,1,99.97,30,103,19393,129860,0.74,96.44,75,0.27,125,0.54,37,37,166581648.33333334,109928686.33333331,12.966666666666669,125.56666666666666,17.1,15.9,20.0,14.766666666666666,252.47086396640222
1998,1,308.48,23,75,19790,7200,0.42,302.19,100,0.07,500,0.25,31,20,90920114.66666669,172946391.33333334,2.6535825545171337,82.63862928348908,13.547352024922118,6.177025888430912,91.85322237536802,14.213662248889555,602.5962903551526
1998,1,244.42,22,71,19977,17040,0.53,251.86,100,0.09,375,0.32,12,36,84333360.33333333,151614865.66666666,2.066666666666667,90.96666666666664,16.900000000000002,11.0,130.7,18.9,480.94360224459456
